searchTerm,Location,Content,Post Date,Post Year
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.657055, 77.556362]",#Bangalore #road #potholes https://t.co/Bqt3AT51Pg,2022-12-26 01:21:45+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","The way I am riding my bike here in Bangalore in broad daylight to avoid potholes, I wouldn’t be surprised if a traffic cop stops me with a breath analyser in his hand. 🤷‍♂️
#potholes #Bangalore #Trafficpolice",2022-12-22 07:05:26+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","To all the pedestrians - Please do not cross National Highways where there is no Zebra Crossing.
To all the drivers - Please do not cross more than the specified limit while you are travelling within the city. 
#Bangalore #Bangaloretraffic #Accident #pedestrians",2022-11-28 17:05:57+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]",Just witnessed one live accident at Hebbal while travelling from Airport to Koramangala. One lady was trying to cross where there was no Zebra Crossing was dashed by sumo driver (avg 60km if I'm not wrong). She was dead on the spot within 5/10 seconds. #Bangalore #Accident,2022-11-28 17:04:35+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","@narendramodi  Dear Sir, please do come for a drive in the ORR (IT corridor) next time you are in Bangalore atleast the road conditions may improve in that excuse!- Earnest request from a sad Bangalorean with back pain.
#bangaloreroads #potholes",2022-11-12 18:08:06+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","Clearly they haven't seen #Bangalore roads.. looks like #BBMP took inspiration from this @BBMPSWMSplComm 
#potholes #Bangaloreroads",2022-11-07 03:51:16+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","Potholes Killing More Than Terrorism, It Is Frightening

Is this a planned murder of Kerala guy from Bbmp 

https://t.co/dW6FZeRDQp

#Bengaluru #pothole #Yelahanka #justiceforkeralaguy #accident #Bangalore",2022-10-31 04:43:30+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.971117, 77.597645]","#potholes #bbmp #bbmpcommissioner @bbmpcomm @bbmpit #aamaadmiparty @aapkaprithvi @mohandasari_ @__salehabaig__ @ Bangalore, India https://t.co/j3zxvNnCoi",2022-10-21 06:52:55+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","State of Bangalore roads and now foot path ...shared the same story ... #mooncraters #potholes .... Contractors must be sacked immediately. @BJP4Karnataka @BSBommai if this is the case , next election we will choose AAP ... Atleast for roads and footpaths",2022-10-20 06:20:17+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.966893927294464, 77.71240857974435]",#bbmp #Bengaluru #Bangalore #DANGER #potholes https://t.co/vmkGtWzIxt,2022-10-15 09:25:57+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","@ArvindLBJP @BBMPCOMM @BBMPAdmn @PCMohanMP @BSBommai @mla_raghu @CPBlr @BlrCityPolice @blrcitytraffic #bangalore #bangaloreroads #potholes @pothole_raja 

Road dugged and left and blocked. 
This road is in bad shape. So many potholes, every other day there is some mishap. https://t.co/Vtr5PMHWIX",2022-10-07 08:41:29+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","All the roads are in Bangalore City are substandard. May be the suspended engineers have taken more bribe and not shared with the superiors. @BBMPSWMSplComm
@BBMPCOMM
#Potholes #corruptedofficials https://t.co/z81Qvl8Z0L",2022-09-28 10:00:47+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","#SmartCity means City with #potholes #Mangalore #Bangalore #Mangaluru #Bengaluru
Kudos to 
@CMofKarnataka

Dear Modi'ji, @PMOIndia Hope the repaired and potholes are filled before you reach #Tulunadu 
#SavePeoplefromPotholes
#PeoplelivesMatters",2022-08-28 03:42:41+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]",New cycle designed for Bengaluru roads to avoid potholes.  #bengaluru #bangalore #potholes @CitizenKamran https://t.co/oRfuAmjGD7,2022-08-27 18:39:57+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","The same potholes when it rains.
Many people are dying and injuring themselves because of such potholes and they are all across. Potholes of Bangalore
#PotholesValleyOfIndia
#BBMP #Bengaluru #potholes
@ELCITA_IN @CMofKarnataka
@nitin_gadkari @PMOIndia https://t.co/NqZ6mCSq3h",2022-08-26 08:57:04+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","KG Road , chickpete. 
Walking speed 5km/hr 
Vehicles Speed limit 2.5km/hr 
#bengaluru #bangalore #potholes 
@swm_bbmp @BBMPAdmn https://t.co/fN7yVuXeeL",2022-08-08 09:23:42+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","#potholes #RoadSafety #BBMP #NarendraModi 
Dear PM Modi, We are forced to embrace era of BC (bullock carts) instead of EV (electric vehicles). Your government did an excellent job by not providing roads itself in a city like Bangalore #bangalore_rain https://t.co/3kjUe4xhY3",2022-08-06 09:50:48+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","BJP likes #potholes, but not Bangalore.

#PotholesWelcomesModi https://t.co/TMVSqYQkxN",2022-06-20 14:11:38+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","Dear Modi Ji,

The Pragati Maidan underpass developed by @ArvindKejriwal is nothing less than an Engineering Marvel.

You are still managed to get an empty bottle.

What about Bangalore's #potholes
filled roads?

#PotholesWelcomesModi https://t.co/WJvc1X18bL",2022-06-20 14:01:08+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","Roads are reconstructed, traffic diverted and schools were asked to be shut so that Modi Ji can have better experience and #potholes free route.

What about the general citizens, who will fix the public apathy due to #potholes
on Bangalore roads.

#PotholesWelcomesModi https://t.co/fRPMtOyCeZ",2022-06-20 13:43:19+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","Dear @narendramodi,

Welcome to the city of #Potholes.

We wish you could visit all the street in Bangalore so that people of Bangalore will get respite from #Potholes.

#PotholesWelcomesModi https://t.co/DPAZRXkDMi",2022-06-20 13:36:26+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]",#Bangalore #Roadsafety #Road #Bulldozer #potholes #jpnagar https://t.co/iuzIei2agO,2022-05-14 04:04:52+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]",Yet another #accident due to beautiful potholes of #Bangalore. #ISRO should test moon rovers on #Bangalore roads for better understanding of moon’s surface. @BBMPCOMM hope your listening. Get well soon @PanditSunetra Mam!!!!!,2022-05-08 04:45:36+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","#Bigfraud #wonderla Bangalore # Size of the ring is 5-6"" and the provide 7 size ball!  #be carefull beforeyou play # let people win with the talent and don't loose with cheating..... It leads to #Mentalhealth #harassment #mentalharassment .... https://t.co/DOkOhsMWGI",2022-03-13 03:11:21+00:00,2022
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","Mercedes rams 6 vehicles, leaves 1 dead in Bengaluru's Indiranagar. 

Video by Ashwal Sriniwas
Link: https://t.co/OXWdtc1HNM

#Bangalore #Accident https://t.co/aQ18G0iwZK",2021-12-08 19:46:36+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","#Bangalore ""City of #potholes "" and ""City of #garbages "" . I guess we all will be extremely proud to call the city with the new names. I am not sure of everybody is facing this in Bangalore
@CMofKarnataka @BBMPAdmn @BBMPCOMM @BBMPSplHealth @BBMPSWMJtComm @BSBommai",2021-11-25 14:29:54+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.90447, 77.675968]","@BBMPCOMM, how can one agency/contractor do good job fixing of Bangalore #potholes? Pls decentralise &amp; ask every ward AEE,AE transparently publish works,schedule &amp; contractor details.Let them get it fixed in timely manner else dismiss, push for decentralisation, accountability.",2021-11-08 18:36:39+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]","Karnataka road tax highest in the country &amp; this is the condition. Belthur main road, next to ""Retreat Signaa""! Situation is same throughout Bangalore. No warning sign. Horribly risky #accident #negligence @BBMPCOMM @BSBommai @bbmpcommr @BBMPAdmn @BBMPSWMSplComm @BangaloreMirror https://t.co/4tKFEY3ULK",2021-10-27 07:56:38+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.731936, 77.3305776]",@BJP4India @nitin_gadkari @PiyushGoyal #poor #road #infrastructure in #Bangalore #potholes #badroads everywhere,2021-10-25 04:39:57+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.8869426184948, 77.59023601948168]",#potholes of Bangalore https://t.co/PbwZgbeOwU,2021-10-25 03:18:20+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","And here's another unfortunate #accident on the #railway tracks. When is @drmsbc @RailMinIndia @CPBlr @blrcitytraffic @BlrCityPolice @BBMPCOMM going to take action on closing off access to tracks? #bangalore
 @BSBommai @CMofKarnataka 
@Lolita_TNIE 
@sridharvMIRROR 
@petleepeter https://t.co/rse3ovmEE4",2021-09-28 04:22:20+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.657055, 77.556362]","@baxirahul Bangalore too pleasant climate. I am 
#trapped in hospital since 2nd june to take care of my father in law who is bedridden (#accident victim ). https://t.co/bjkwr587lr",2021-06-15 02:28:17+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.919037, 77.373474]","Bangalore should be the destination then. Lot of difficult roads that leads to many destinations. 

#Potholes",2021-02-12 11:59:21+00:00,2021
(Bangalore #eveteasing OR #potholes OR #harassment OR #assault OR #accident OR #stalking),"[12.971117, 77.597645]","#karnataka #karnatakajudiciary #karnatakagovernment #jayakarnataka #sandalwoodadda #Bizinfoshow #harassment @ Bangalore, India https://t.co/pUoeHJswFH",2020-06-20 10:33:33+00:00,2020
